lat,lon,sst_media,racha_18p0,cumple_18p0,racha_19p0,cumple_19p0,racha_20p0,cumple_20p0,racha_21p0,cumple_21p0,racha_22p0,cumple_22p0,racha_23p0,cumple_23p0,racha_24p0,cumple_24p0
24.75,-112.63,21.5732,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.62,21.5548,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.61,21.534200000000002,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.6,21.510200000000005,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.59,21.485599999999998,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.58,21.4632,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.57,21.445600000000002,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.56,21.434,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.55,21.427599999999998,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.54,21.423800000000004,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.53,21.4216,0,False,0,False,0,False,0,False,4,False,5,True,5,True
24.75,-112.52,21.4224,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.51,21.4254,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.5,21.4274,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.49,21.427,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.48,21.427599999999998,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.47,21.433199999999996,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.46,21.4414,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.45,21.446199999999997,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.44,21.4464,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.43,21.442,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.42,21.4318,0,False,0,False,0,False,1,False,4,False,5,True,5,True
