lat,lon,streak,sst_media
24.78,-113.72,5,23.1364
24.78,-113.71,5,23.1322
24.78,-113.7,5,23.1282
24.78,-113.69,5,23.126399999999997
24.78,-113.68,5,23.1284
24.78,-113.67,5,23.132799999999996
24.78,-113.66,5,23.138399999999997
24.78,-113.65,5,23.1456
24.78,-113.64,5,23.153399999999998
24.78,-113.63,5,23.163399999999996
24.78,-113.62,5,23.176
24.78,-113.61,5,23.189
24.78,-113.6,5,23.199199999999998
24.78,-113.59,5,23.208000000000002
24.78,-113.58,5,23.2202
24.78,-113.57,5,23.2358
24.78,-113.56,5,23.2524
24.78,-113.55,5,23.2686
24.78,-113.54,5,23.2852
24.78,-113.53,5,23.3006
24.78,-113.52,5,23.312600000000003
24.78,-113.51,5,23.319
24.78,-113.5,5,23.321800000000003
24.78,-113.49,5,23.3224
24.78,-113.48,5,23.321600000000004
24.78,-113.47,5,23.319200000000002
24.78,-113.46,5,23.315800000000003
24.78,-113.45,5,23.3112
24.78,-113.44,5,23.306199999999997
24.78,-113.43,5,23.302
24.78,-113.42,5,23.2996
24.78,-113.41,5,23.2992
24.78,-113.4,5,23.3014
24.78,-113.39,5,23.306
24.78,-113.38,5,23.314
24.78,-113.37,5,23.3268
24.78,-113.36,5,23.343799999999998
24.78,-113.35,5,23.365000000000002
24.78,-113.34,5,23.3896
24.78,-113.33,5,23.4162
24.78,-113.32,5,23.4446
24.78,-113.31,5,23.476
24.78,-113.3,5,23.511199999999995
24.78,-113.29,5,23.548399999999997
24.78,-113.28,5,23.585199999999997
24.78,-113.27,5,23.6214
24.78,-113.26,5,23.656799999999997
24.78,-113.25,5,23.691799999999997
24.78,-113.24,5,23.7262
24.78,-113.23,5,23.760399999999997
24.78,-113.22,5,23.7946
24.78,-113.21,5,23.828799999999998
24.78,-113.2,5,23.8628
24.78,-113.19,5,23.8972
24.78,-113.18,5,23.9312
24.78,-113.17,5,23.965200000000003
24.78,-113.16,5,23.999200000000002
24.78,-113.15,5,24.0324
24.78,-113.14,5,24.0654
24.78,-113.13,5,24.0976
24.78,-113.12,5,24.129200000000004
24.78,-113.11,5,24.158800000000003
24.78,-113.1,5,24.186
24.78,-113.09,5,24.210199999999997
24.78,-113.08,5,24.232599999999998
24.79,-113.75,5,23.135600000000004
24.79,-113.74,5,23.13
24.79,-113.73,5,23.125
24.79,-113.72,5,23.1198
24.79,-113.71,5,23.113599999999998
24.79,-113.7,5,23.107999999999997
24.79,-113.69,5,23.1044
24.79,-113.68,5,23.1048
24.79,-113.67,5,23.107799999999997
24.79,-113.66,5,23.1128
24.79,-113.65,5,23.119
24.79,-113.64,5,23.1248
24.79,-113.63,5,23.1326
24.79,-113.62,5,23.143400000000003
24.79,-113.61,5,23.156200000000002
24.79,-113.6,5,23.1692
24.79,-113.59,5,23.183
24.79,-113.58,5,23.198
24.79,-113.57,5,23.214599999999997
24.79,-113.56,5,23.231199999999998
24.79,-113.55,5,23.247400000000003
24.79,-113.54,5,23.262999999999998
24.79,-113.53,5,23.2772
